code,score
818,"0.457 (0.433, 0.466)    |    2.533 (2.081, 2.743)"
819,"0.344 (0.320, 0.441)    |    -0.84 (-1.60, 1.683)"
820,"0.634 (0.583, 0.638)    |    -0.41 (-1.33, -0.14)"
821,"0.455 (0.441, 0.532)    |    -4.29 (-5.49, -2.75)"
822,"0.428 (0.391, 0.491)    |    -3.27 (-6.33, -1.22)"
823,"0.489 (0.467, 0.492)    |    -1.68 (-2.70, -1.68)"
824,"0.380 (0.362, 0.477)    |    -3.01 (-3.13, -1.12)"
825,"0.473 (0.461, 0.548)    |    -2.13 (-4.77, -1.52)"
826,"0.714 (0.687, 0.802)    |    -1.76 (-3.17, -0.86)"
827,"0.590 (0.565, 0.592)    |    -1.07 (-1.40, -0.66)"
828,"0.038 (0.046, 0.894)    |    -2.50 (-6.06, 5.346)"
829,"0.777 (0.044, 0.981)    |    5.993 (-7.25, 7.325)"
830,"0.450 (0.417, 0.495)    |    -0.87 (-2.96, -0.70)"
831,"0.579 (0.558, 0.598)    |    -0.53 (-1.44, -0.25)"
832,"0.509 (0.502, 0.517)    |    -1.83 (-1.93, -1.40)"
833,"0.538 (0.537, 0.548)    |    -1.24 (-1.29, -0.89)"
834,"0.964 (0.869, 0.997)    |    0.253 (-0.67, 2.067)"
835,"0.526 (0.498, 0.529)    |    -1.02 (-1.88, -0.96)"
836,"0.312 (0.038, 0.949)    |    -5.10 (-7.37, 7.588)"
837,"0.507 (0.503, 0.517)    |    -1.60 (-1.60, -1.15)"
838,"0.639 (0.633, 0.669)    |    -1.13 (-2.77, -0.93)"
839,"0.533 (0.493, 0.600)    |    2.755 (2.296, 3.167)"
840,"0.422 (0.242, 0.602)    |    3.874 (-0.46, 4.695)"
841,"0.010 (0.012, 0.970)    |    2.071 (-7.90, 7.597)"
842,"0.522 (0.322, 0.822)    |    -0.22 (-6.09, 1.656)"
843,"0.516 (0.066, 0.935)    |    -6.98 (-6.81, 7.606)"
844,-
845,-
846,-
850,"0.745 (0.642, 0.991)    |    -5.70 (-7.61, 1.046)"
899,"0.419 (0.030, 0.828)    |    -5.60 (-7.40, 7.529)"
901,"0.512 (0.476, 0.526)    |    -0.37 (-0.67, -0.03)"
902,-
911,"0.907 (0.161, 0.985)    |    -0.62 (-3.17, 6.712)"
919,-
920,"0.224 (0.224, 0.441)    |    2.521 (1.955, 6.367)"
921,"0.639 (0.009, 0.955)    |    -2.74 (-7.56, 7.726)"
922,"0.523 (0.497, 0.647)    |    -1.50 (-0.97, 0.832)"
923,-
927,"0.254 (0.018, 0.971)    |    7.720 (-7.05, 7.677)"
931,"0.450 (0.421, 0.475)    |    -1.26 (-2.02, -0.99)"
935,"0.556 (0.408, 0.978)    |    -1.39 (-6.50, 0.829)"
936,-
950,"0.431 (0.409, 0.500)    |    -3.43 (-3.59, -1.30)"
951,"0.462 (0.449, 0.475)    |    -1.28 (-1.45, -0.93)"
952,"0.880 (0.071, 0.976)    |    6.009 (-7.72, 7.293)"
953,-
970,"0.286 (0.286, 0.581)    |    -7.64 (-6.68, 1.082)"
971,"0.717 (0.645, 0.749)    |    -0.70 (-1.84, -0.49)"
972,"0.536 (0.534, 0.571)    |    -1.75 (-1.81, -1.15)"
973,"0.135 (0.030, 0.879)    |    3.652 (-7.10, 7.717)"
974,"0.457 (0.293, 0.601)    |    -1.30 (-7.49, 2.512)"
975,"0.603 (0.539, 0.640)    |    -1.02 (-2.44, -0.98)"
976,-
977,"0.571 (0.413, 0.947)    |    0.815 (-7.60, 4.719)"
981,"0.605 (0.581, 0.675)    |    4.048 (3.637, 4.440)"
989,-
990,-
991,-
992,"0.479 (0.008, 0.971)    |    -1.71 (-7.64, 7.136)"
993,"0.418 (0.369, 0.804)    |    -5.37 (-6.63, 1.340)"
994,"0.336 (0.223, 0.457)    |    1.951 (-1.30, 2.776)"
995,-
996,"0.162 (0.006, 0.968)    |    3.363 (-7.17, 7.051)"
997,-
